profit_rank,crop,predicted_yield,modal_price,expected_revenue,cost_per_hectare,net_profit
4821,Maize,31.90327881525005,2400.0,76567.86915660012,28000.0,48567.86915660012
4822,Maize,31.8898728053,2400.0,76535.69473272,28000.0,48535.69473272
4823,Maize,31.8898728053,2400.0,76535.69473272,28000.0,48535.69473272
4824,Rice,36.13983885930008,2300.0,83121.62937639018,35000.0,48121.62937639018
4825,Wheat,27.8790762347,2800.0,78061.41345716,30000.0,48061.41345716
4826,Maize,47.95726294030007,1580.0,75772.4754456741,28000.0,47772.47544567411
4827,Wheat,34.29466065124996,2265.0,77677.40637508116,30000.0,47677.40637508116
4828,Maize,47.95726294030007,1575.0,75532.6891309726,28000.0,47532.689130972605
4829,Wheat,34.230134446950004,2265.0,77531.25452234175,30000.0,47531.254522341755
4830,Maize,30.010162386350007,2500.0,75025.40596587502,28000.0,47025.40596587502
4831,Maize,30.010162386350007,2500.0,75025.40596587502,28000.0,47025.40596587502
4832,Wheat,27.8790762347,2750.0,76667.459645425,30000.0,46667.459645425
4833,Wheat,27.8790762347,2750.0,76667.459645425,30000.0,46667.459645425
4834,Maize,47.95726294030007,1550.0,74333.75755746511,28000.0,46333.75755746511
4835,Maize,28.4897017438,2605.0,74215.67304259901,28000.0,46215.67304259901
4836,Wheat,33.62759427625004,2265.0,76166.50103570634,30000.0,46166.501035706344
4837,Maize,28.4897017438,2600.0,74073.22453388,28000.0,46073.22453388
4838,Maize,28.433521692100065,2605.0,74069.32400792067,28000.0,46069.32400792067
4839,Maize,28.433521692100065,2600.0,73927.15639946017,28000.0,45927.156399460175
4840,Rice,35.149150354499895,2300.0,80843.04581534976,35000.0,45843.04581534976
4841,Maize,30.010162386350007,2460.0,73824.99947042101,28000.0,45824.99947042101
4842,Maize,29.52311212339993,2500.0,73807.78030849983,28000.0,45807.78030849983
4843,Maize,29.52311212339993,2500.0,73807.78030849983,28000.0,45807.78030849983
4844,Maize,31.90327881525005,2300.0,73377.54127507511,28000.0,45377.54127507511
4845,Rice,34.93731452734988,2300.0,80355.82341290473,35000.0,45355.823412904734
4846,Maize,55.15243032599997,1330.0,73352.73233357996,28000.0,45352.73233357996
4847,Maize,31.8898728053,2300.0,73346.70745219,28000.0,45346.70745219001
4848,Wheat,27.8790762347,2700.0,75273.50583369,30000.0,45273.50583369
4849,Wheat,27.8790762347,2700.0,75273.50583369,30000.0,45273.50583369
4850,Maize,31.90327881525005,2290.0,73058.50848692261,28000.0,45058.50848692261
4851,Maize,31.8898728053,2290.0,73027.80872413701,28000.0,45027.80872413701
4852,Maize,29.52311212339993,2460.0,72626.85582356383,28000.0,44626.855823563834
4853,Maize,30.010162386350007,2420.0,72624.59297496702,28000.0,44624.59297496702
4854,Maize,42.904292524649975,1680.0,72079.21144141196,28000.0,44079.21144141196
4855,Maize,30.010162386350007,2400.0,72024.38972724002,28000.0,44024.38972724002
4856,Maize,30.010162386350007,2400.0,72024.38972724002,28000.0,44024.38972724002
4857,Wheat,27.8790762347,2655.0,74018.9474031285,30000.0,44018.947403128506
4858,Maize,47.95726294030007,1500.0,71935.8944104501,28000.0,43935.8944104501
4859,Wheat,27.8790762347,2650.0,73879.55202195501,30000.0,43879.55202195501
4860,Wheat,27.8790762347,2650.0,73879.55202195501,30000.0,43879.55202195501
4861,Wheat,27.8790762347,2650.0,73879.55202195501,30000.0,43879.55202195501
4862,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4863,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4864,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4865,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4866,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4867,Maize,31.90327881525005,2250.0,71782.37733431261,28000.0,43782.37733431261
4868,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4869,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4870,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4871,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4872,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4873,Maize,31.8898728053,2250.0,71752.213811925,28000.0,43752.213811925
4874,Wheat,27.8790762347,2637.5,73531.06356902125,30000.0,43531.06356902125
4875,Maize,29.52311212339993,2420.0,71445.93133862782,28000.0,43445.93133862782
4876,Rice,36.13983885930008,2165.0,78242.75113038467,35000.0,43242.75113038467
4877,Maize,53.55716727350002,1330.0,71231.03247375503,28000.0,43231.032473755025
4878,Maize,28.4897017438,2500.0,71224.2543595,28000.0,43224.2543595
4879,Maize,28.4897017438,2500.0,71224.2543595,28000.0,43224.2543595
4880,Wheat,27.8790762347,2625.0,73182.57511608751,30000.0,43182.57511608751
4881,Wheat,27.8790762347,2625.0,73182.57511608751,30000.0,43182.57511608751
4882,Maize,28.433521692100065,2500.0,71083.80423025016,28000.0,43083.804230250156
4883,Maize,28.433521692100065,2500.0,71083.80423025016,28000.0,43083.804230250156
4884,Maize,29.52311212339993,2400.0,70855.46909615982,28000.0,42855.469096159824
4885,Maize,29.52311212339993,2400.0,70855.46909615982,28000.0,42855.469096159824
4886,Maize,42.904292524649975,1650.0,70792.08266567245,28000.0,42792.08266567245
4887,Wheat,27.8790762347,2605.0,72624.9935913935,30000.0,42624.993591393504
4888,Wheat,27.8790762347,2600.0,72485.59821022,30000.0,42485.59821022001
4889,Wheat,27.8790762347,2600.0,72485.59821022,30000.0,42485.59821022001
4890,Wheat,27.8790762347,2600.0,72485.59821022,30000.0,42485.59821022001
4891,Wheat,27.8790762347,2590.0,72206.807447873,30000.0,42206.807447873
4892,Maize,31.90327881525005,2200.0,70187.21339355012,28000.0,42187.21339355012
4893,Maize,31.90327881525005,2200.0,70187.21339355012,28000.0,42187.21339355012
4894,Maize,31.90327881525005,2200.0,70187.21339355012,28000.0,42187.21339355012
4895,Maize,31.90327881525005,2200.0,70187.21339355012,28000.0,42187.21339355012
4896,Maize,31.8898728053,2200.0,70157.72017166001,28000.0,42157.72017166001
4897,Maize,31.8898728053,2200.0,70157.72017166001,28000.0,42157.72017166001
4898,Maize,31.8898728053,2200.0,70157.72017166001,28000.0,42157.72017166001
4899,Maize,31.8898728053,2200.0,70157.72017166001,28000.0,42157.72017166001
4900,Maize,28.4897017438,2460.0,70084.666289748,28000.0,42084.666289748
4901,Maize,28.433521692100065,2460.0,69946.46336256617,28000.0,41946.463362566166
